store_id,product_id,stock_qty,reorder_level
1,1,17,30
1,2,11,16
1,3,14,19
1,4,80,20
1,5,87,28
1,6,76,17
1,7,49,27
1,8,76,29
1,9,67,23
1,10,70,15
1,11,87,18
1,12,87,23
1,13,82,25
1,14,14,24
1,15,55,20
1,16,58,15
1,17,33,20
1,18,64,18
1,19,80,24
1,20,81,21
1,21,19,26
1,22,20,15
2,1,76,25
2,2,62,15
2,3,14,26
2,4,39,22
2,5,7,22
2,6,72,17
2,7,10,30
2,8,8,19
2,9,16,30
2,10,70,20
2,11,33,28
2,12,27,21
2,13,39,27
2,14,85,26
2,15,56,29
2,16,15,22
2,17,28,17
2,18,43,15
2,19,75,22
2,20,75,22
2,21,0,17
2,22,90,16
3,1,29,17
3,2,4,25
3,3,9,22
3,4,35,30
3,5,27,19
3,6,73,30
3,7,31,30
3,8,52,21
3,9,12,18
3,10,84,28
3,11,45,28
3,12,52,29
3,13,6,18
3,14,7,27
3,15,43,18
3,16,31,21
3,17,24,29
3,18,17,28
3,19,23,23
3,20,59,22
3,21,9,29
3,22,70,18
4,1,6,15
4,2,11,22
4,3,21,28
4,4,62,30
4,5,27,27
4,6,7,20
4,7,48,15
4,8,49,23
4,9,58,24
4,10,54,30
4,11,19,21
4,12,37,21
4,13,7,16
4,14,40,16
4,15,6,30
4,16,64,20
4,17,7,17
4,18,23,17
4,19,76,17
4,20,86,22
4,21,51,18
4,22,72,22
5,1,74,16
5,2,79,17
5,3,53,25
5,4,33,21
5,5,85,25
5,6,30,23
5,7,50,19
5,8,85,24
5,9,58,25
5,10,9,15
5,11,58,18
5,12,9,21
5,13,64,23
5,14,16,26
5,15,8,22
5,16,47,24
5,17,20,29
5,18,69,24
5,19,78,15
5,20,85,24
5,21,84,18
5,22,17,23
6,1,14,18
6,2,70,19
6,3,34,24
6,4,77,21
6,5,43,21
6,6,87,23
6,7,64,30
6,8,32,16
6,9,11,28
6,10,35,16
6,11,0,25
6,12,16,23
6,13,20,29
6,14,70,28
6,15,71,15
6,16,14,17
6,17,88,19
6,18,69,16
6,19,47,19
6,20,55,19
6,21,5,24
6,22,46,16
