order_id,product_id,quantity,unit_price,line_total
1,20,1,120,120
1,5,2,55,110
1,8,1,45,45
1,6,1,38,38
2,4,1,78,78
2,13,2,320,640
3,1,1,45,45
3,22,2,155,310
4,22,1,155,155
4,18,2,125,250
4,11,1,55,55
4,1,3,45,135
5,14,1,280,280
5,20,2,120,240
5,17,3,190,570
6,12,1,110,110
6,14,3,280,840
7,17,2,190,380
7,10,2,35,70
7,22,2,155,310
8,22,2,155,310
8,6,2,38,76
8,20,3,120,360
8,19,1,160,160
9,15,3,165,495
9,22,2,155,310
9,7,3,42,126
10,3,2,40,80
10,8,1,45,45
10,22,1,155,155
11,15,2,165,330
12,8,1,45,45
12,5,2,55,110
12,21,1,180,180
12,1,1,45,45
13,15,1,165,165
14,20,2,120,240
14,17,1,190,190
14,14,3,280,840
14,18,2,125,250
15,21,1,180,180
15,8,3,45,135
15,9,2,30,60
15,15,1,165,165
16,8,3,45,135
16,13,1,320,320
17,14,3,280,840
17,2,3,35,105
17,7,1,42,42
17,13,3,320,960
18,14,2,280,560
18,18,1,125,125
18,20,2,120,240
18,8,2,45,90
19,15,3,165,495
19,5,3,55,165
20,3,3,40,120
21,11,2,55,110
21,7,2,42,84
21,15,2,165,330
21,13,1,320,320
22,21,3,180,540
22,3,1,40,40
23,16,1,145,145
23,22,3,155,465
24,6,2,38,76
25,13,3,320,960
25,7,3,42,126
25,3,1,40,40
25,19,1,160,160
26,12,3,110,330
27,1,1,45,45
27,14,2,280,560
27,16,2,145,290
28,17,2,190,380
28,21,3,180,540
29,11,2,55,110
29,8,2,45,90
29,3,1,40,40
30,16,2,145,290
31,20,1,120,120
31,9,3,30,90
31,18,1,125,125
32,16,3,145,435
32,21,2,180,360
33,8,2,45,90
33,10,2,35,70
33,22,3,155,465
33,19,3,160,480
34,9,3,30,90
34,10,1,35,35
34,8,2,45,90
34,4,1,78,78
35,9,2,30,60
35,19,1,160,160
35,17,1,190,190
35,20,2,120,240
36,9,1,30,30
36,2,3,35,105
37,19,2,160,320
38,16,2,145,290
38,4,2,78,156
38,3,1,40,40
39,3,3,40,120
39,8,2,45,90
39,4,3,78,234
40,15,2,165,330
40,10,3,35,105
40,19,3,160,480
40,14,1,280,280
41,6,1,38,38
42,20,1,120,120
42,16,2,145,290
42,10,3,35,105
42,2,2,35,70
43,14,3,280,840
43,4,1,78,78
44,10,3,35,105
44,20,3,120,360
45,9,2,30,60
45,17,1,190,190
45,18,3,125,375
45,16,1,145,145
46,8,3,45,135
47,6,2,38,76
48,21,2,180,360
48,16,2,145,290
48,3,2,40,80
48,12,3,110,330
49,10,1,35,35
49,22,2,155,310
49,13,1,320,320
49,18,2,125,250
50,14,2,280,560
50,2,3,35,105
50,7,2,42,84
50,17,3,190,570
51,10,3,35,105
51,15,2,165,330
52,10,1,35,35
52,18,3,125,375
53,16,3,145,435
53,10,3,35,105
54,13,3,320,960
54,7,3,42,126
55,1,3,45,135
55,10,3,35,105
55,19,2,160,320
56,15,3,165,495
56,11,2,55,110
56,7,1,42,42
56,8,2,45,90
57,16,1,145,145
57,2,3,35,105
58,1,1,45,45
58,5,1,55,55
58,14,2,280,560
58,21,2,180,360
59,11,1,55,55
59,21,3,180,540
59,16,1,145,145
59,18,1,125,125
60,21,3,180,540
61,11,1,55,55
62,19,3,160,480
62,22,2,155,310
62,6,3,38,114
62,3,3,40,120
63,15,1,165,165
63,9,2,30,60
63,22,2,155,310
64,21,2,180,360
64,14,2,280,560
64,9,1,30,30
65,19,3,160,480
65,10,2,35,70
65,1,2,45,90
66,10,1,35,35
66,8,3,45,135
66,20,1,120,120
66,12,3,110,330
67,21,3,180,540
68,3,2,40,80
68,10,3,35,105
69,6,2,38,76
69,9,3,30,90
69,16,2,145,290
70,18,1,125,125
70,12,2,110,220
70,3,3,40,120
70,13,1,320,320
71,21,1,180,180
71,12,2,110,220
71,4,1,78,78
71,22,3,155,465
72,10,1,35,35
72,21,1,180,180
72,14,1,280,280
72,4,2,78,156
73,15,2,165,330
73,12,3,110,330
73,22,3,155,465
73,18,3,125,375
74,9,2,30,60
74,2,2,35,70
74,12,1,110,110
74,7,2,42,84
75,9,1,30,30
75,7,3,42,126
75,4,1,78,78
75,15,3,165,495
76,19,1,160,160
76,7,3,42,126
77,20,2,120,240
77,1,1,45,45
78,5,1,55,55
79,9,1,30,30
79,2,3,35,105
80,12,2,110,220
80,17,3,190,570
80,19,1,160,160
80,4,3,78,234
81,2,2,35,70
82,3,1,40,40
82,11,1,55,55
82,20,2,120,240
82,5,3,55,165
83,15,2,165,330
83,17,1,190,190
83,20,3,120,360
84,14,1,280,280
84,15,2,165,330
85,11,2,55,110
86,3,1,40,40
86,14,3,280,840
86,4,1,78,78
86,12,3,110,330
87,22,2,155,310
87,14,3,280,840
