order_id,store_id,customer_id,order_datetime,status
1,2,27,2026-04-02 11:50:00,Delivered
2,6,64,2026-03-27 20:30:00,Delivered
3,3,79,2026-02-26 11:30:00,Delivered
4,3,90,2026-03-26 12:00:00,Delivered
5,5,112,2026-03-09 08:00:00,Delivered
6,6,112,2026-02-18 12:00:00,Delivered
7,6,32,2026-03-26 17:20:00,Cancelled
8,2,50,2026-06-28 12:40:00,Delivered
9,4,149,2026-03-19 12:10:00,Delivered
10,3,132,2026-02-13 18:00:00,Delivered
11,2,122,2026-02-07 08:00:00,Delivered
12,6,99,2026-06-11 17:10:00,Delivered
13,1,143,2026-06-28 16:30:00,Delivered
14,5,82,2026-04-29 18:40:00,Pending
15,6,71,2026-04-26 12:10:00,Processing
16,5,21,2026-03-11 13:20:00,Delivered
17,4,85,2026-02-24 09:30:00,Delivered
18,3,77,2026-04-08 15:00:00,Pending
19,3,104,2026-05-05 08:30:00,Cancelled
20,5,145,2026-01-07 22:30:00,Delivered
21,2,13,2026-04-20 10:30:00,Delivered
22,5,14,2026-05-01 08:50:00,Delivered
23,1,40,2026-01-08 11:10:00,Delivered
24,3,95,2026-02-25 15:50:00,Delivered
25,3,148,2026-01-28 17:00:00,Cancelled
26,6,31,2026-06-28 20:20:00,Delivered
27,1,130,2026-04-20 18:20:00,Delivered
28,6,40,2026-06-12 22:30:00,Delivered
29,4,112,2026-05-18 20:30:00,Cancelled
30,6,98,2026-04-29 17:40:00,Delivered
31,3,67,2026-02-16 15:10:00,Delivered
32,4,126,2026-01-22 11:50:00,Delivered
33,1,76,2026-04-25 20:00:00,Delivered
34,5,85,2026-03-30 14:50:00,Delivered
35,2,50,2026-05-18 20:50:00,Delivered
36,3,4,2026-02-28 13:10:00,Cancelled
37,6,126,2026-03-16 19:10:00,Delivered
38,3,48,2026-05-01 15:30:00,Delivered
39,1,39,2026-05-28 18:50:00,Delivered
40,2,134,2026-06-02 20:40:00,Delivered
41,2,55,2026-06-06 19:00:00,Delivered
42,2,1,2026-02-14 16:00:00,Delivered
43,1,60,2026-06-29 21:30:00,Delivered
44,2,19,2026-06-15 10:20:00,Delivered
45,4,78,2026-03-15 15:00:00,Cancelled
46,5,65,2026-04-21 19:20:00,Delivered
47,6,69,2026-05-28 17:00:00,Delivered
48,3,47,2026-05-13 18:30:00,Delivered
49,3,106,2026-01-27 21:10:00,Cancelled
50,4,132,2026-03-06 13:00:00,Delivered
51,2,69,2026-04-24 20:00:00,Delivered
52,5,62,2026-02-01 08:50:00,Cancelled
53,1,119,2026-04-15 09:10:00,Delivered
54,4,63,2026-03-11 14:30:00,Delivered
55,3,107,2026-02-04 21:00:00,Delivered
56,4,89,2026-02-08 15:40:00,Delivered
57,4,98,2026-01-12 13:50:00,Delivered
58,4,26,2026-06-01 13:00:00,Delivered
59,4,21,2026-03-28 17:50:00,Delivered
60,2,24,2026-06-11 18:20:00,Delivered
61,6,77,2026-01-26 15:10:00,Delivered
62,4,38,2026-03-17 13:20:00,Delivered
63,2,60,2026-03-03 15:40:00,Delivered
64,1,114,2026-06-23 16:10:00,Delivered
65,1,61,2026-04-09 21:30:00,Delivered
66,6,13,2026-01-03 17:50:00,Delivered
67,6,36,2026-03-06 18:50:00,Delivered
68,1,149,2026-01-11 12:30:00,Delivered
69,2,139,2026-04-17 10:10:00,Delivered
70,2,58,2026-01-30 15:00:00,Cancelled
71,6,68,2026-04-27 13:50:00,Delivered
72,2,17,2026-05-24 13:40:00,Delivered
73,2,138,2026-05-07 09:00:00,Delivered
74,6,26,2026-02-09 22:30:00,Delivered
75,5,92,2026-01-26 18:20:00,Delivered
76,1,86,2026-06-13 17:00:00,Delivered
77,2,85,2026-02-23 17:10:00,Processing
78,2,29,2026-02-03 16:20:00,Delivered
79,5,83,2026-04-02 20:10:00,Delivered
80,6,17,2026-04-18 16:00:00,Delivered
81,5,78,2026-01-12 19:50:00,Delivered
82,1,126,2026-04-13 14:50:00,Cancelled
83,6,84,2026-06-12 17:40:00,Delivered
84,6,142,2026-01-30 21:50:00,Cancelled
85,4,107,2026-03-28 21:30:00,Cancelled
86,3,40,2026-03-22 18:20:00,Cancelled
87,6,32,2026-05-24 16:20:00,Delivered
88,5,55,2026-04-01 09:40:00,Delivered
89,5,143,2026-02-27 20:30:00,Delivered
90,2,145,2026-03-31 08:10:00,Delivered
